link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
127620,B,25,0.06623787984,0.0275991166,"11 Other Local, Neighborhood, Rural Roads",NA,118497,118796,Local,1,25,None,Suburban,level,800
127622,B,25,0.2113624824,0.088067701,"8 Major Local Roads, Paved",3600,127721,127658,MinArterial,2,30,NonRestrictive,Suburban,level,1800
127648,B,25,0.32573695152,0.1357237298,"11 Other Local, Neighborhood, Rural Roads",NA,125037,124766,Local,1,25,None,Suburban,level,800
127660,B,25,0.13571922504,0.0565496771,"11 Other Local, Neighborhood, Rural Roads",NA,137492,137666,Local,1,25,None,Suburban,level,800
127664,B,25,0.44043622823999995,0.1835150951,"8 Major Local Roads, Paved",10000,130308,130167,MinArterial,2,30,NonRestrictive,Suburban,level,1800
127672,B,25,0.14062900103999998,0.0585954171,"11 Other Local, Neighborhood, Rural Roads",NA,133883,133892,Local,1,25,None,Suburban,level,800
127679,B,25,0.0673703076,0.0280709615,"11 Other Local, Neighborhood, Rural Roads",NA,129285,129436,Local,1,25,None,Suburban,level,800
127701,B,25,0.18881438520000002,0.0786726605,10 Other Federal Aid Eligible Local Roads,5800,123205,123221,Local,1,25,None,Suburban,level,800
127723,B,25,0.33399664704,0.1391652696,10 Other Federal Aid Eligible Local Roads,7300,123615,123824,Local,1,25,None,Suburban,level,800
127728,B,25,0.33321037752000005,0.1388376573,"11 Other Local, Neighborhood, Rural Roads",NA,116097,116663,Local,1,25,None,Suburban,level,800
127730,B,25,0.71712686232,0.2988028593,"11 Other Local, Neighborhood, Rural Roads",NA,114755,114762,Local,1,25,None,Suburban,level,800
